epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,8204.76,0.31856,0.05391,0.02359,0.21185,0.82377,0.99641,0.99687,0.99492,0.98365,0.99641,0.99687,0.99492,0.99395,0.20275,0.01957,0.00055,0.13356,0.77801,0.00677543,0.00677543,0.00677543
60,8342.63,0.31227,0.05161,0.02402,0.20734,0.82418,0.99645,0.99728,0.99489,0.98601,0.99645,0.99728,0.99489,0.99409,0.19986,0.01918,0.00054,0.13071,0.77587,0.00667789,0.00667789,0.00667789
61,8480.37,0.31076,0.04912,0.024,0.20466,0.82142,0.99692,0.99739,0.99483,0.98604,0.99692,0.99739,0.99483,0.99373,0.19941,0.01944,0.00052,0.12845,0.77507,0.00657963,0.00657963,0.00657963
62,8618.55,0.30956,0.04766,0.0227,0.2064,0.82177,0.99623,0.99785,0.99488,0.98572,0.99623,0.99785,0.99488,0.99401,0.19783,0.01895,0.00047,0.12541,0.77542,0.00648071,0.00648071,0.00648071
63,8756.81,0.3057,0.05107,0.02556,0.20194,0.82459,0.99622,0.99795,0.99491,0.98579,0.99622,0.99795,0.99491,0.99397,0.19635,0.01851,0.00053,0.12509,0.77509,0.00638115,0.00638115,0.00638115
64,8895.77,0.30356,0.0478,0.02343,0.20422,0.82161,0.99605,0.99775,0.99491,0.98673,0.99605,0.99775,0.99491,0.99406,0.19464,0.01832,0.00048,0.12704,0.775,0.00628101,0.00628101,0.00628101
65,9034.55,0.30277,0.04882,0.02391,0.20272,0.82055,0.99611,0.99759,0.99493,0.9875,0.99611,0.99759,0.99493,0.99403,0.19481,0.0185,0.00043,0.12872,0.77485,0.00618034,0.00618034,0.00618034
66,9172.93,0.29934,0.04736,0.02391,0.19856,0.8188,0.99692,0.99797,0.99492,0.98779,0.99692,0.99797,0.99492,0.99425,0.19295,0.01805,0.00045,0.12646,0.77417,0.00607916,0.00607916,0.00607916
67,9311.43,0.29787,0.04927,0.02301,0.19524,0.8184,0.99717,0.99806,0.99489,0.98855,0.99717,0.99806,0.99489,0.99428,0.19034,0.0176,0.00042,0.12431,0.77306,0.00597754,0.00597754,0.00597754
68,9449.81,0.30112,0.04721,0.0232,0.19948,0.82121,0.99718,0.99758,0.99494,0.98792,0.99718,0.99758,0.99494,0.99423,0.18947,0.01755,0.00042,0.12391,0.77246,0.00587551,0.00587551,0.00587551
69,9588.66,0.29747,0.04462,0.02118,0.19661,0.81989,0.99705,0.99765,0.99494,0.98759,0.99705,0.99765,0.99494,0.99425,0.18788,0.01732,0.00039,0.12269,0.77242,0.00577311,0.00577311,0.00577311
70,9726.44,0.29089,0.04618,0.02309,0.19126,0.81823,0.99649,0.99736,0.99494,0.98844,0.99649,0.99736,0.99494,0.99436,0.18607,0.01699,0.00041,0.11842,0.77194,0.0056704,0.0056704,0.0056704
71,9864.54,0.29028,0.04399,0.02264,0.18976,0.81654,0.99641,0.9975,0.99495,0.9883,0.99641,0.9975,0.99495,0.99432,0.1858,0.017,0.00037,0.11751,0.77209,0.00556742,0.00556742,0.00556742
72,10003.1,0.29091,0.04459,0.02342,0.19115,0.81532,0.99738,0.99743,0.99497,0.98845,0.99738,0.99743,0.99497,0.99434,0.18497,0.01695,0.00035,0.11969,0.77154,0.00546421,0.00546421,0.00546421
73,10142.3,0.29335,0.04606,0.02256,0.19328,0.81886,0.99724,0.99751,0.99496,0.98882,0.99724,0.99751,0.99496,0.99405,0.1845,0.01743,0.00035,0.11833,0.77026,0.00536081,0.00536081,0.00536081
74,10280.4,0.2855,0.0418,0.02068,0.18887,0.81449,0.99704,0.9973,0.99496,0.98854,0.99704,0.9973,0.99496,0.99423,0.1826,0.01729,0.00038,0.11782,0.77012,0.00525728,0.00525728,0.00525728
75,10419.9,0.28346,0.04255,0.02172,0.1877,0.81411,0.99673,0.99732,0.99493,0.98909,0.99673,0.99732,0.99493,0.99424,0.1819,0.01734,0.00037,0.11469,0.77088,0.00515366,0.00515366,0.00515366
76,10558.2,0.28196,0.04251,0.02065,0.18702,0.81145,0.99663,0.99726,0.99491,0.98857,0.99663,0.99726,0.99491,0.99406,0.18114,0.01724,0.00033,0.11695,0.77056,0.00505,0.00505,0.00505
77,10696.7,0.28328,0.04175,0.02017,0.18651,0.81668,0.99696,0.99752,0.99491,0.98834,0.99696,0.99752,0.99491,0.99411,0.17861,0.01676,0.00031,0.11717,0.7703,0.00494634,0.00494634,0.00494634
78,10834.7,0.28279,0.04347,0.02155,0.18466,0.81428,0.99719,0.99769,0.99487,0.98912,0.99719,0.99769,0.99487,0.99412,0.17833,0.01657,0.00032,0.11579,0.7706,0.00484272,0.00484272,0.00484272
79,10973.2,0.27393,0.04162,0.02146,0.18087,0.81105,0.99737,0.99802,0.9949,0.98878,0.99737,0.99802,0.9949,0.9941,0.17783,0.01658,0.00032,0.11348,0.77208,0.00473919,0.00473919,0.00473919
80,11112.1,0.27868,0.042,0.02194,0.18378,0.81318,0.99767,0.99831,0.99494,0.98891,0.99767,0.99831,0.99494,0.9942,0.17748,0.01664,0.00031,0.11256,0.77276,0.00463579,0.00463579,0.00463579
81,11250.4,0.27317,0.04189,0.01992,0.18203,0.80905,0.9983,0.99835,0.99493,0.99005,0.9983,0.99835,0.99493,0.9943,0.17613,0.01647,0.00029,0.1126,0.77163,0.00453258,0.00453258,0.00453258
82,11388.7,0.27303,0.03774,0.01888,0.18,0.81247,0.99784,0.99834,0.99493,0.99012,0.99784,0.99834,0.99493,0.99424,0.17486,0.01633,0.00028,0.11235,0.77014,0.0044296,0.0044296,0.0044296
83,11527.5,0.271,0.03852,0.01987,0.17964,0.81518,0.99785,0.9983,0.99494,0.99014,0.99785,0.9983,0.99494,0.99422,0.17338,0.01612,0.00027,0.1118,0.76983,0.00432689,0.00432689,0.00432689
84,11665.9,0.27276,0.03736,0.02002,0.17986,0.81617,0.99787,0.99832,0.99495,0.99033,0.99787,0.99832,0.99495,0.99429,0.17242,0.01599,0.00026,0.11144,0.7696,0.00422449,0.00422449,0.00422449
85,11804.6,0.26946,0.03947,0.0194,0.17633,0.80973,0.99807,0.99833,0.99495,0.99026,0.99807,0.99833,0.99495,0.99433,0.17148,0.01597,0.00026,0.11068,0.76973,0.00412246,0.00412246,0.00412246
86,11942.5,0.26404,0.03763,0.02022,0.17412,0.80929,0.99793,0.99834,0.99494,0.99026,0.99793,0.99834,0.99494,0.99432,0.17038,0.01584,0.00025,0.10978,0.76958,0.00402084,0.00402084,0.00402084
87,12081.4,0.26212,0.04015,0.02013,0.17622,0.80859,0.99767,0.99836,0.99495,0.99052,0.99767,0.99836,0.99495,0.99446,0.16947,0.01565,0.00025,0.10896,0.76945,0.00391966,0.00391966,0.00391966
88,12219.4,0.26467,0.03916,0.01974,0.17677,0.80885,0.99817,0.99838,0.99496,0.99101,0.99817,0.99838,0.99496,0.99443,0.16898,0.01542,0.00025,0.1085,0.76879,0.00381899,0.00381899,0.00381899
89,12357,0.26148,0.03668,0.01864,0.1752,0.81087,0.99822,0.99838,0.99497,0.99081,0.99822,0.99838,0.99497,0.99439,0.16911,0.01529,0.00024,0.10801,0.76853,0.00371885,0.00371885,0.00371885
90,12494.5,0.26064,0.03701,0.01869,0.171,0.81176,0.99817,0.9984,0.99497,0.99074,0.99817,0.9984,0.99497,0.99444,0.16812,0.01534,0.00024,0.10753,0.76835,0.00361929,0.00361929,0.00361929
91,12631.9,0.25708,0.03797,0.0178,0.16954,0.80804,0.99821,0.9984,0.99497,0.99115,0.99821,0.9984,0.99497,0.99455,0.16751,0.01513,0.00023,0.10763,0.7679,0.00352037,0.00352037,0.00352037
92,12770.1,0.25613,0.03873,0.01862,0.16804,0.80641,0.99777,0.9984,0.99497,0.99105,0.99777,0.9984,0.99497,0.99446,0.16678,0.01509,0.00022,0.1072,0.76765,0.00342211,0.00342211,0.00342211
93,12907.6,0.25144,0.03386,0.01771,0.16669,0.80599,0.99784,0.99839,0.99497,0.99106,0.99784,0.99839,0.99497,0.99453,0.16619,0.01506,0.00021,0.10611,0.76759,0.00332457,0.00332457,0.00332457
94,13045.9,0.25613,0.03424,0.01815,0.16718,0.80706,0.99799,0.99837,0.99497,0.99164,0.99799,0.99837,0.99497,0.99451,0.1653,0.01497,0.00021,0.10579,0.76698,0.00322778,0.00322778,0.00322778
95,13184.8,0.25081,0.03678,0.01782,0.16605,0.8052,0.99773,0.99809,0.99496,0.9916,0.99773,0.99809,0.99496,0.99444,0.16431,0.0149,0.0002,0.10517,0.76674,0.0031318,0.0031318,0.0031318
96,13323,0.24592,0.03481,0.01752,0.16267,0.80684,0.99771,0.99797,0.99496,0.99171,0.99771,0.99797,0.99496,0.99449,0.16381,0.01461,0.0002,0.10465,0.76717,0.00303665,0.00303665,0.00303665
97,13461.5,0.24589,0.03405,0.01735,0.1627,0.80509,0.99787,0.99815,0.99496,0.99147,0.99787,0.99815,0.99496,0.9945,0.16319,0.01455,0.00019,0.10398,0.76705,0.00294239,0.00294239,0.00294239
98,13600.1,0.2461,0.03233,0.01707,0.16265,0.80893,0.99765,0.99814,0.99497,0.99145,0.99765,0.99814,0.99497,0.99457,0.1624,0.01442,0.00018,0.10364,0.76676,0.00284906,0.00284906,0.00284906
99,13738.7,0.24705,0.03225,0.01714,0.16235,0.80522,0.99767,0.99815,0.99497,0.99147,0.99767,0.99815,0.99497,0.99456,0.16174,0.01428,0.00018,0.10319,0.76643,0.00275668,0.00275668,0.00275668
100,13877.3,0.24558,0.03231,0.0163,0.1616,0.80564,0.99779,0.99807,0.99497,0.99162,0.99779,0.99807,0.99497,0.99455,0.16099,0.01422,0.00018,0.10355,0.76607,0.00266532,0.00266532,0.00266532
101,14015.7,0.24664,0.03168,0.01665,0.16158,0.80577,0.99781,0.99806,0.99497,0.99156,0.99781,0.99806,0.99497,0.99456,0.16054,0.01412,0.00017,0.10363,0.76595,0.002575,0.002575,0.002575
