epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1515.45,0.73975,0.56258,1.13124,0.86642,0.94379,0.97358,0.77739,0.68293,0.51876,1.10823,0.00934973,0.00934973,0.00934973
167,1524.52,0.73455,0.58726,1.15897,0.86664,0.93421,0.97529,0.78321,0.69108,0.51333,1.10292,0.009342,0.009342,0.009342
168,1533.34,0.76029,0.60386,1.15706,0.82932,0.9696,0.97951,0.78144,0.6811,0.50632,1.09611,0.00933423,0.00933423,0.00933423
169,1542.19,0.78556,0.59198,1.18004,0.88157,0.91699,0.97095,0.78399,0.70102,0.50008,1.10912,0.00932642,0.00932642,0.00932642
170,1551.38,0.80421,0.63496,1.17746,0.87371,0.88366,0.92927,0.74375,0.70111,0.52702,1.11699,0.00931857,0.00931857,0.00931857
171,1560.28,0.74265,0.58216,1.15208,0.8266,0.95316,0.94348,0.76099,0.67964,0.49495,1.08914,0.00931067,0.00931067,0.00931067
172,1569.13,0.73842,0.56463,1.15005,0.85662,0.9328,0.9681,0.77862,0.68224,0.50689,1.09293,0.00930274,0.00930274,0.00930274
173,1578.24,0.76689,0.59162,1.14722,0.83207,0.94879,0.97433,0.78554,0.67396,0.48908,1.08341,0.00929476,0.00929476,0.00929476
174,1586.99,0.72119,0.58135,1.16249,0.81057,0.94471,0.96154,0.77597,0.69168,0.51521,1.11343,0.00928674,0.00928674,0.00928674
175,1595.72,0.73887,0.57107,1.14309,0.85666,0.95324,0.9721,0.77827,0.67259,0.50954,1.09218,0.00927867,0.00927867,0.00927867
176,1604.71,0.75997,0.58209,1.17104,0.90664,0.9163,0.97253,0.7758,0.67583,0.48594,1.09349,0.00927057,0.00927057,0.00927057
177,1613.38,0.71914,0.56316,1.14311,0.86249,0.94078,0.97587,0.77766,0.67711,0.47902,1.09372,0.00926242,0.00926242,0.00926242
178,1622.25,0.74575,0.58084,1.16438,0.89912,0.91551,0.9696,0.77526,0.67953,0.49221,1.09683,0.00925423,0.00925423,0.00925423
179,1630.92,0.7605,0.63342,1.16474,0.89063,0.92594,0.97654,0.78123,0.68285,0.48549,1.10004,0.00924601,0.00924601,0.00924601
180,1639.69,0.71823,0.55531,1.14185,0.86112,0.93985,0.97854,0.78636,0.67279,0.48164,1.08304,0.00923774,0.00923774,0.00923774
181,1648.8,0.75028,0.55799,1.13243,0.90633,0.91082,0.97609,0.79053,0.67371,0.48134,1.0921,0.00922942,0.00922942,0.00922942
182,1657.6,0.72238,0.55536,1.12987,0.91034,0.93762,0.97058,0.7789,0.67501,0.50135,1.09051,0.00922107,0.00922107,0.00922107
183,1666.24,0.74144,0.56171,1.15069,0.85805,0.95852,0.97673,0.78899,0.67369,0.49555,1.09091,0.00921268,0.00921268,0.00921268
184,1675.31,0.73613,0.56382,1.15028,0.87901,0.96476,0.97939,0.79208,0.66289,0.4839,1.07182,0.00920424,0.00920424,0.00920424
